import time: self [us] | cumulative | imported package
import time:       558 |        558 |                         grp
import time:      1463 |       2620 |                       tarfile
import time:      1370 |       1370 |                       zipfile
import time:       349 |        349 |                       pandas.core.shared_docs
import time:      1740 |       8406 |                     pandas.io.common
import time:       794 |       9200 |                   pandas.io.formats.format
import time:       398 |      18854 |                 pandas.core.describe
import time:       454 |        454 |                 pandas.core.internals.construction
import time:       361 |        361 |                       pandas._libs.window
import time:      1307 |       1668 |                     pandas._libs.window.aggregations
import time:       590 |        590 |                       pandas._libs.window.indexers
import time:       674 |       1264 |                     pandas.core.indexers.objects
import time:       354 |        354 |                     pandas.core.util.numba_
import time:       316 |        316 |                     pandas.core.window.common
import time:       408 |        408 |                     pandas.core.window.doc
import time:       367 |        367 |                     pandas.core.window.numba_
import time:       301 |        301 |                     pandas.core.window.online
import time:       411 |        411 |                       pandas.core._numba
import time:       421 |        421 |                       pandas.core._numba.executor
import time:      2303 |       3135 |                     pandas.core.window.rolling
import time:       982 |       8790 |                   pandas.core.window.ewm
import time:      1161 |       1161 |                   pandas.core.window.expanding
import time:       409 |      10360 |                 pandas.core.window
import time:      6315 |      48297 |               pandas.core.generic
import time:       409 |        409 |                 pandas.core.reshape.util
import time:       361 |        361 |                 pandas.core.tools.numeric
import time:      1442 |       2211 |               pandas.core.reshape.melt
import time:       759 |        759 |                 pandas._libs.reshape
import time:       657 |        657 |                 pandas.core.indexes.accessors
import time:      1104 |       1104 |                   pandas._libs.tslibs.strptime
import time:       410 |        410 |                   pandas.arrays
import time:       991 |       2504 |                 pandas.core.tools.datetimes
import time:      1056 |       1056 |                 pandas.io.formats.info
import time:      1587 |       1587 |                   pandas.plotting._core
import time:       486 |        486 |                   pandas.plotting._misc
import time:       415 |       2487 |                 pandas.plotting
import time:      4190 |      11651 |               pandas.core.series
import time:      8729 |      70887 |             pandas.core.frame
import time:      1245 |       1245 |             pandas.core.groupby.base
import time:       642 |        642 |                 backports_abc
import time:      1151 |       1793 |               pandas._libs.groupby
import time:       389 |        389 |               pandas.core.groupby.numba_
import time:       318 |        318 |                   pandas.core.groupby.categorical
import time:       519 |        836 |                 pandas.core.groupby.grouper
import time:       723 |       1559 |               pandas.core.groupby.ops
import time:       507 |        507 |               pandas.core.groupby.indexing
import time:      2506 |       6752 |             pandas.core.groupby.groupby
import time:      2352 |      82487 |           pandas.core.groupby.generic
import time:       387 |      82873 |         pandas.core.groupby
import time:       433 |     139034 |       pandas.core.api
import time:       489 |        489 |       pandas.tseries.api
import time:       289 |        289 |               pandas.core.computation.common
import time:       389 |        678 |             pandas.core.computation.align
import time:      1089 |       1089 |                 pprint
import time:       405 |        405 |                 pandas.compat.chainmap
import time:       396 |       1890 |               pandas.core.computation.scope
import time:       536 |       2426 |             pandas.core.computation.ops
import time:       440 |       3543 |           pandas.core.computation.engines
import time:       344 |        344 |             pandas.core.computation.parsing
import time:      1698 |       2042 |           pandas.core.computation.expr
import time:       422 |       6006 |         pandas.core.computation.eval
import time:       385 |       6391 |       pandas.core.computation.api
import time:       363 |        363 |         pandas.core.reshape.encoding
import time:      1356 |       1356 |             _uuid
import time:      1886 |       3241 |           uuid
import time:      9969 |      13209 |         pandas.core.reshape.merge
import time:      1996 |       1996 |         pandas.core.reshape.pivot
import time:       866 |        866 |         pandas.core.reshape.tile
import time:       493 |      16924 |       pandas.core.reshape.api
import time:       976 |        976 |         pandas.api.extensions
import time:       848 |        848 |         pandas.api.indexers
import time:       552 |        552 |             pandas.core.interchange
import time:      1797 |       2348 |           pandas.core.interchange.dataframe_protocol
import time:       465 |        465 |                 pandas.core.dtypes.api
import time:       580 |       1044 |               pandas.api.types
import time:       538 |        538 |               pandas.core.interchange.buffer
import time:       522 |        522 |               pandas.core.interchange.utils
import time:       701 |       2804 |             pandas.core.interchange.column
import time:       668 |       3472 |           pandas.core.interchange.from_dataframe
import time:       631 |       6451 |         pandas.api.interchange
import time:       785 |       9059 |       pandas.api
import time:       525 |        525 |             pandas._testing._random
import time:      1692 |       1692 |               tempfile
import time:       566 |       2257 |             pandas._testing.contexts
import time:       814 |       3595 |           pandas._testing._io
import time:       584 |        584 |           pandas._testing._warnings
import time:       100 |        100 |               cmath
import time:       859 |        958 |             pandas._libs.testing
import time:       747 |       1705 |           pandas._testing.asserters
import time:       480 |        480 |           pandas._testing.compat
import time:      1460 |       7823 |         pandas._testing
